Step,Current Stock Price,Action,Buy and Hold Portfolio Value,DQN Agent Portfolio Value
338,335.41,4,43588.87125687513,43465.41999999997
339,335.3,6,43574.575988879966,43459.03999999997
340,335.45,2,43594.06953614609,43467.43999999997
341,335.43,8,43591.47039651061,43466.179999999964
342,335.39,7,43586.27211723964,43464.01999999996
343,335.33,7,43578.474698333186,43461.079999999965
344,335.33,1,43578.474698333186,43461.079999999965
345,335.1,6,43548.584592525134,43449.80999999997
346,335.28,4,43571.97684924448,43458.26999999997
347,335.28,2,43571.97684924448,43458.26999999997
348,335.32,8,43577.175128515446,43461.02999999997
349,335.35,7,43581.07383796867,43462.799999999974
350,335.36,2,43582.373407786414,43463.33999999997
351,335.36,2,43582.373407786414,43463.33999999997
352,335.36,2,43582.373407786414,43463.33999999997
353,335.32,7,43577.175128515446,43460.41999999997
354,335.37,7,43583.672977604154,43463.71999999997
355,335.37,9,43583.672977604154,43463.71999999997
356,335.4,9,43587.57168705738,43465.15999999997
357,335.36,0,43582.373407786414,43463.59999999996
358,335.08,0,43545.98545288965,43452.679999999964
359,335.2,10,43561.58029070254,43457.359999999964
360,335.23,2,43565.47900015578,43458.259999999966
361,335.25,1,43568.07813979126,43459.039999999964
362,335.25,8,43568.07813979126,43459.039999999964
363,335.25,4,43568.07813979126,43459.039999999964
364,335.35,2,43581.07383796867,43464.539999999964
365,335.25,8,43568.07813979126,43458.33999999997
366,335.4,7,43587.57168705738,43466.289999999964
367,335.35,10,43581.07383796867,43463.88999999996
368,335.35,8,43581.07383796867,43463.88999999996
369,335.4,6,43587.57168705738,43465.439999999966
370,335.28,3,43571.97684924448,43461.83999999997
371,335.52,10,43603.16652487028,43472.399999999965
372,335.1,7,43548.584592525134,43458.53999999997
373,335.4,4,43587.57168705738,43467.53999999997
374,335.13,7,43552.483301978355,43454.30999999997
375,335.1,7,43548.584592525134,43452.95999999998
376,335.11,7,43549.884162342874,43453.36999999997
377,335.25,7,43568.07813979126,43458.549999999974
378,335.3,7,43574.575988879966,43460.24999999997
379,335.34,2,43579.774268150926,43461.489999999976
380,335.4,7,43587.57168705738,43463.88999999997
381,335.4,9,43587.57168705738,43463.88999999997
382,335.37,2,43583.672977604154,43463.019999999975
383,335.505,7,43601.21717014367,43468.284999999974
384,335.51,9,43601.86695505254,43468.46499999997
385,335.38,0,43584.9725474219,43464.69499999998
386,335.38,2,43584.9725474219,43464.69499999998
387,335.47,2,43596.66867578158,43468.20499999997
388,335.51,7,43601.86695505254,43470.12499999997
389,335.4,5,43587.57168705738,43465.284999999974
390,335.4,7,43587.57168705738,43465.284999999974
391,335.4,7,43587.57168705738,43465.284999999974
392,335.49,7,43599.26781541706,43470.144999999975
393,335.49,2,43599.26781541706,43470.144999999975
394,335.4,7,43587.57168705738,43465.01499999997
395,335.4,2,43587.57168705738,43465.01499999997
396,335.37,2,43583.672977604154,43463.24499999998
397,335.48,5,43597.96824559932,43470.504999999976
398,335.4,9,43587.57168705738,43464.02499999997
399,335.37,9,43583.672977604154,43462.07499999997
400,335.31,3,43575.875558697706,43458.95499999997
401,335.4,1,43587.57168705738,43464.62499999997
402,335.31,8,43575.875558697706,43458.68499999997
403,335.32,7,43577.175128515446,43459.254999999976
404,335.4,2,43587.57168705738,43463.41499999997
405,335.36,7,43582.373407786414,43461.05499999998
406,335.4,7,43587.57168705738,43463.21499999997
407,335.36,7,43582.373407786414,43461.254999999976
408,335.35,7,43581.07383796867,43460.80499999997
409,335.39,7,43586.27211723964,43462.44499999997
410,335.39,10,43586.27211723964,43462.44499999998
411,335.35,8,43581.07383796867,43461.324999999975
412,335.4,7,43587.57168705738,43462.52499999997
413,335.4,6,43587.57168705738,43462.52499999998
414,335.4,7,43587.57168705738,43462.52499999998
415,335.4,7,43587.57168705738,43462.52499999998
416,335.06,3,43543.38631325417,43456.404999999984
417,335.4,7,43587.57168705738,43467.96499999998
418,335.4,2,43587.57168705738,43467.96499999998
419,335.2,7,43561.58029070254,43459.96499999998
420,335.4,9,43587.57168705738,43467.16499999998
421,335.4,7,43587.57168705738,43467.16499999998
422,335.07,9,43544.68588307191,43458.25499999998
423,335.4,7,43587.57168705738,43465.514999999985
424,335.07,6,43544.68588307191,43458.914999999986
425,335.4,9,43587.57168705738,43465.18499999998
426,335.18,2,43558.98115106706,43461.66499999998
427,335.15,2,43555.082441613835,43460.85499999998
428,335.1,7,43548.584592525134,43459.004999999976
429,335.15,7,43555.082441613835,43460.70499999997
430,335.347,7,43580.683967023346,43466.811999999976
431,335.22,3,43564.17943033804,43463.25599999998
432,335.16,7,43556.38201143158,43460.67599999998
433,335.17,2,43557.68158124932,43461.06599999998
434,335.4,4,43587.57168705738,43472.10599999998
435,335.32,7,43577.175128515446,43466.985999999975
436,335.28,8,43571.97684924448,43464.665999999976
437,335.38,7,43584.9725474219,43469.665999999976
438,335.4,7,43587.57168705738,43470.56599999998
439,335.4,7,43587.57168705738,43470.56599999998
440,335.17,7,43557.68158124932,43462.055999999975
441,335.2,3,43561.58029070254,43463.07599999997
442,335.2,2,43561.58029070254,43463.07599999997
443,335.2,7,43561.58029070254,43463.07599999997
444,335.2,1,43561.58029070254,43463.07599999997
445,335.2,2,43561.58029070254,43463.07599999997
446,335.2,2,43561.58029070254,43463.07599999997
447,335.23,7,43565.47900015578,43465.085999999974
448,335.298,7,43574.316074916416,43469.233999999975
449,335.23,9,43565.47900015578,43465.49399999998
450,335.1,1,43548.584592525134,43459.773999999976
451,335.1,7,43548.584592525134,43459.773999999976
452,335.07,8,43544.68588307191,43458.453999999976
453,335.2,7,43561.58029070254,43463.39399999997
454,335.06,6,43543.38631325417,43458.49399999997
455,335.25,7,43568.07813979126,43464.95399999997
456,335.38,2,43584.9725474219,43468.98399999997
