Step,Current Stock Price,Action,Buy and Hold Portfolio Value,DQN Agent Portfolio Value
94,124.795,7,22500.78001284831,22460.090999999993
95,124.895,8,22518.810206375972,22466.490999999995
96,125.05,1,22546.75700634385,22475.015999999996
97,125.046,4,22546.03579860275,22474.771999999997
98,125.08,9,22552.16606440215,22477.627999999997
99,125.055,9,22547.658516020238,22475.927999999996
100,125.045,0,22545.85549666747,22475.377999999997
101,125.045,10,22545.85549666747,22475.377999999997
102,124.95,10,22528.72681281619,22471.388
103,124.87,9,22514.30265799406,22468.827999999998
104,124.88,9,22516.105677346823,22469.088
105,124.87,8,22514.30265799406,22468.878
106,124.905,8,22520.61322572874,22469.508
107,124.76,5,22494.469445113627,22467.188000000002
108,124.803,7,22502.222428330522,22469.639000000003
109,124.905,6,22520.61322572874,22474.943000000003
110,124.876,9,22515.384469605717,22473.493000000002
111,124.875,5,22515.20416767044,22473.453
112,124.72,7,22487.25736770256,22461.983
113,124.805,0,22502.583032201077,22467.678000000004
114,124.764,6,22495.190652854733,22464.931000000004
115,124.67,0,22478.24227093873,22458.915
116,124.705,9,22484.55283867341,22461.155000000002
117,124.64,4,22472.83321288043,22457.775
118,124.615,5,22468.325664498512,22455.850000000002
119,124.665,10,22477.34076126235,22460.950000000004
120,124.68,5,22480.0452902915,22462.105000000003
121,124.69,2,22481.84830964426,22463.125
122,124.715,10,22486.355858026178,22465.850000000002
123,124.705,10,22484.55283867341,22465.030000000002
124,124.775,3,22497.173974142777,22469.370000000003
125,124.835,8,22507.992090259373,22474.110000000004
126,124.702,9,22484.011932867583,22465.066000000006
127,124.766,9,22495.551256725288,22468.586000000003
128,124.705,8,22484.55283867341,22465.902000000006
129,124.725,9,22488.158877378944,22466.662000000004
130,124.82,3,22505.287561230223,22469.607000000004
131,124.725,10,22488.158877378944,22464.572000000004
132,124.74,5,22490.863406408094,22465.172000000002
133,124.825,4,22506.18907090661,22471.547000000006
134,124.925,3,22524.219264434272,22481.147000000004
135,124.905,9,22520.61322572874,22478.987
136,124.935,2,22526.02228378704,22481.597
137,124.915,9,22522.416245081506,22479.677000000003
138,124.875,9,22515.20416767044,22476.597
139,124.87,5,22514.30265799406,22476.287000000004
140,124.915,9,22522.416245081506,22480.382000000005
141,124.86,4,22512.49963864129,22476.367000000006
142,124.855,5,22511.59812896491,22475.897000000004
143,124.92,4,22523.31775475789,22483.372000000003
144,124.915,4,22522.416245081506,22482.737000000005
145,124.94,8,22526.923793463422,22486.162000000004
146,124.99,9,22535.938890227255,22492.012000000002
147,125.11,7,22557.57512246045,22503.292
148,125.1,9,22555.772103107684,22502.442000000003
149,125.06,9,22548.56002569662,22499.722
150,125.126,4,22560.459953424877,22503.352000000006
151,125.13,9,22561.181161165983,22503.668000000005
152,125.13,7,22561.181161165983,22503.668000000005
153,125.19,9,22571.999277282583,22507.148000000005
154,125.221,3,22577.58863727616,22508.605000000003
155,125.265,0,22585.521922428332,22511.509000000005
156,125.113,10,22558.116028266282,22501.477000000006
157,125.16,3,22566.590219224283,22503.827000000005
158,125.27,9,22586.42343210471,22511.417
159,125.235,10,22580.112864370032,22509.457000000002
160,125.186,9,22571.278069541477,22507.399000000005
161,125.078,6,22551.8054605316,22503.727000000006
162,125.21,4,22575.605315988116,22508.083000000006
163,125.23,3,22579.21135469365,22509.323000000004
164,125.24,9,22581.014374046412,22510.113000000005
165,125.24,3,22581.014374046412,22510.113000000005
166,125.3,9,22591.83249016301,22514.973000000005
167,125.315,4,22594.53701919216,22515.948000000004
168,125.34,10,22599.044567574078,22518.123000000007
169,125.31,4,22593.635509515778,22516.143000000004
170,125.315,4,22594.53701919216,22516.583000000006
171,125.15,5,22564.787199871516,22499.093000000008
172,125.125,9,22560.2796514896,22495.993000000002
173,125.08,9,22552.16606440215,22491.493000000002
174,125.07,9,22550.363045049384,22490.693000000003
175,125.11,4,22557.57512246045,22493.253000000004
176,125.15,5,22564.787199871516,22496.733000000004
177,125.09,4,22553.96908375492,22490.133
178,125.07,9,22550.363045049384,22487.673000000003
179,125.08,6,22552.16606440215,22488.663
180,125.09,9,22553.96908375492,22489.613000000005
181,125.11,3,22557.57512246045,22491.133
182,125.051,9,22546.937308279128,22485.764000000003
183,125.12,10,22559.378141813217,22490.801
184,125.06,9,22548.56002569662,22487.501
185,125.14,0,22562.98418051875,22491.021
186,125.13,3,22561.181161165983,22490.581
187,125.11,3,22557.57512246045,22489.301
188,125.09,4,22553.96908375492,22487.681
189,125.08,9,22552.16606440215,22486.681
190,125.075,2,22551.26455472577,22486.281000000003
191,125.09,7,22553.96908375492,22487.616
192,125.011,2,22539.72523086806,22481.217
193,124.985,0,22535.03738055087,22478.877
194,125.01,8,22539.544928932788,22481.127
195,124.98,9,22534.13587087449,22478.817000000003
196,124.945,4,22527.825303139805,22476.647
197,125.09,8,22553.96908375492,22488.972
198,125.067,9,22549.822139243555,22487.292999999998
199,125.125,10,22560.2796514896,22490.715
200,125.025,5,22542.249457961938,22486.215
201,124.94,9,22526.923793463422,22479.585
202,124.8,2,22501.681522524694,22470.765
203,124.82,9,22505.287561230223,22472.245000000003
204,124.8,3,22501.681522524694,22471.045
205,124.785,9,22498.976993495544,22469.875
206,124.83,9,22507.09058058299,22472.71
207,124.945,4,22527.825303139805,22478.575
208,124.975,9,22533.234361198105,22480.855000000003
209,124.925,10,22524.219264434272,22477.805
210,124.86,6,22512.49963864129,22474.815000000002
211,124.8,9,22501.681522524694,22472.175000000003
212,124.88,1,22516.105677346823,22475.055000000004
213,124.906,6,22520.793527664016,22476.173000000003
214,124.91,1,22521.514735405122,22476.337000000007
215,124.87,5,22514.30265799406,22474.457000000006
216,124.91,3,22521.514735405122,22477.657000000007
217,124.9,7,22519.71171605236,22476.717000000008
218,124.895,5,22518.810206375972,22476.29200000001
219,124.9,1,22519.71171605236,22476.83200000001
220,124.885,3,22517.00718702321,22475.16700000001
221,124.905,9,22520.61322572874,22477.587000000007
222,124.973,9,22532.87375732755,22484.183000000005
223,124.975,9,22533.234361198105,22484.339000000007
224,124.9,3,22519.71171605236,22479.61400000001
225,124.86,9,22512.49963864129,22476.414000000008
226,124.92,0,22523.31775475789,22480.254000000008
227,124.778,8,22497.714879948606,22471.16600000001
228,124.87,9,22514.30265799406,22476.22600000001
229,124.925,7,22524.219264434272,22478.64600000001
230,124.83,1,22507.09058058299,22474.846000000012
