date,open,high,low,close,volume,smawindow,emawindow,sma100,ema100,sma200,ema200,vwap,rsi,macd,macd_signal,macd_hist,bbands_upper,bbands_middle,bbands_lower,wma,cci,aroon_up,aroon_down,obv,stoch_slowk,stoch_slowd,stochf_fastk,stochf_fastd,stochrsi_fastk,stochrsi_fastd
2020-01-17 15:57:00,77.821,77.855,77.78,77.83,598012.0,77.4244,77.4472,77.4417,77.4765,77.3516,77.3965,77.3059,68.5889,0.0733,0.0565,0.0168,77.7411,77.5065,77.2718,77.4746,312.6805,100.0,39.0625,63162864.0,88.0736,85.0945,89.4515,88.0736,100.0,100.0
2020-01-17 15:58:00,77.83,77.855,77.768,77.801,1064168.0,77.4281,77.4527,77.4457,77.4829,77.354,77.4005,77.3114,66.6679,0.0755,0.0603,0.0152,77.7579,77.5131,77.2684,77.4804,287.9678,100.0,38.2812,62098696.0,85.2469,86.3955,76.7241,85.2469,0.0,66.6667
2020-01-17 15:59:00,77.808,77.85,77.758,77.821,2126288.0,77.4319,77.4584,77.45,77.4896,77.3566,77.4047,77.3221,67.31,0.0779,0.0638,0.0141,77.7758,77.5197,77.2635,77.4865,276.0219,99.2188,37.5,64224984.0,80.3919,84.5708,75.0,80.3919,21.1215,40.3738
2020-01-21 09:30:00,77.462,77.527,77.365,77.413,2829976.0,77.4195,77.4406,77.4157,77.433,77.4415,77.4647,77.4313,48.6949,0.0094,0.018,-0.0086,77.5032,77.4225,77.3419,77.4213,42.5008,96.875,77.3438,75117420.0,27.022,39.9602,27.1186,27.022,0.0,-0.0
2020-01-21 09:31:00,77.418,77.547,77.304,77.529,779652.0,77.4199,77.442,77.4167,77.4349,77.4401,77.4654,77.4361,54.2796,0.0142,0.0172,-0.003,77.5095,77.4247,77.3399,77.423,104.7692,100.0,100.0,75897072.0,45.3862,36.1808,92.5926,45.3862,100.0,33.3333
2020-01-21 09:32:00,77.518,77.657,77.491,77.596,730132.0,77.4208,77.4444,77.4186,77.4381,77.4391,77.4667,77.4561,57.0271,0.0231,0.0184,0.0047,77.5232,77.4277,77.3323,77.4257,391.4578,100.0,99.2188,76627204.0,67.4769,46.6284,82.7195,67.4769,100.0,66.6667
2020-01-21 09:33:00,77.593,77.698,77.517,77.584,645440.0,77.4217,77.4466,77.4204,77.441,77.4379,77.4678,77.4716,56.4097,0.0289,0.0205,0.0084,77.5334,77.43,77.3266,77.4282,416.5685,100.0,98.4375,75981764.0,82.126,64.9964,71.066,82.126,91.6442,97.2147
2020-01-21 09:34:00,77.601,77.656,77.541,77.606,546392.0,77.4228,77.449,77.4226,77.4442,77.4369,77.4692,77.4824,57.2722,0.0348,0.0234,0.0115,77.5451,77.4325,77.3199,77.4311,401.5783,99.2188,97.6562,76528156.0,76.8118,75.4716,76.6497,76.8118,100.0,97.2147
2020-01-21 09:35:00,77.607,77.667,77.5,77.537,496108.0,77.4234,77.4504,77.4242,77.4461,77.4355,77.4699,77.4885,53.8723,0.0336,0.0254,0.0082,77.5499,77.4341,77.3184,77.4329,317.3244,98.4375,96.875,76032048.0,68.9509,75.9629,59.1371,68.9509,0.0,63.8814
2020-01-21 09:36:00,77.552,77.598,77.444,77.497,396404.0,77.4238,77.4511,77.4254,77.4471,77.4339,77.4701,77.4898,52.0507,0.029,0.0261,0.0029,77.5521,77.4353,77.3185,77.434,194.0341,97.6562,96.0938,75635644.0,52.2176,65.9934,20.8661,52.2176,0.0,33.3333
